Tenant Name,Rent,Utilities,total
Ram,8000,2500,10500
shyam 1,9500,1200,10700
shyam 2,11000,1500,12500
shyam 3,10460,8808,19268
shyam 4,7256,9596,16852
shyam 5,8682,9951,18633
shyam 6,8383,10493,18876
shyam 7,8443,9970,18413
shyam 8,7855,8703,16558
shyam 9,9019,7755,16774
shyam 10,10357,10018,20375
shyam 11,9856,9612,19468
shyam 12,9350,8180,17530
shyam 13,7193,7274,14467
shyam 14,8824,7635,16459
shyam 15,10203,10465,20668
shyam 16,8187,9452,17639
shyam 17,9666,7013,16679
shyam 18,7786,7467,15253
shyam 19,7962,10170,18132
shyam 20,10853,8261,19114
shyam 21,10488,8996,19484
shyam 22,7022,8690,15712
shyam 23,7271,9037,16308
shyam 24,9468,7554,17022
shyam 25,7138,8872,16010
shyam 26,10947,7069,18016
shyam 27,8620,8653,17273
shyam 28,10140,7450,17590
shyam 29,10913,8541,19454
shyam 30,9443,10410,19853
shyam 31,10548,8134,18682
shyam 32,8526,9965,18491
shyam 33,8657,7101,15758
shyam 34,9637,8182,17819
shyam 35,9580,8692,18272
shyam 36,7588,9015,16603
shyam 37,9097,7389,16486
shyam 38,10136,9895,20031
shyam 39,8458,10830,19288
shyam 40,8941,8705,17646
shyam 41,9616,10882,20498
shyam 42,7005,9308,16313
shyam 43,10132,9496,19628
shyam 44,7488,9185,16673
shyam 45,10992,8154,19146
shyam 46,7682,9570,17252
shyam 47,9466,9938,19404
shyam 48,10397,8986,19383
shyam 49,7940,9364,17304
shyam 50,10822,7518,18340
shyam 51,8376,7842,16218
shyam 52,10824,8843,19667
shyam 53,9819,7471,17290
shyam 54,7464,10738,18202
shyam 55,8742,8633,17375
shyam 56,10720,9932,20652
shyam 57,10483,8574,19057
shyam 58,10418,9612,20030
shyam 59,9716,8670,18386
shyam 60,10672,10810,21482
shyam 61,10749,8232,18981
shyam 62,9798,9250,19048
shyam 63,10749,10938,21687
shyam 64,7180,7451,14631
shyam 65,8125,9142,17267
shyam 66,8048,7942,15990
shyam 67,7546,10343,17889
shyam 68,10795,10781,21576
shyam 69,8850,10318,19168
shyam 70,8997,10871,19868
shyam 71,7304,8416,15720
shyam 72,9732,10190,19922
shyam 73,7165,9711,16876
shyam 74,9224,9196,18420
shyam 75,10270,7823,18093
shyam 76,10030,8207,18237
shyam 77,7065,8900,15965
shyam 78,8054,9684,17738
shyam 79,9101,7065,16166
shyam 80,10734,9490,20224
shyam 81,7139,8736,15875
shyam 82,10451,9102,19553
shyam 83,10907,8765,19672
shyam 84,10158,10028,20186
shyam 85,7043,8158,15201
shyam 86,8756,9060,17816
shyam 87,10268,9878,20146
shyam 88,7725,8805,16530
shyam 89,10401,9238,19639
shyam 90,8160,8026,16186
shyam 91,9809,7844,17653
shyam 92,10330,7874,18204
shyam 93,10709,9121,19830
shyam 94,7910,10834,18744
shyam 95,9587,8533,18120
shyam 96,7579,8197,15776
shyam 97,8792,9744,18536
shyam 98,9735,7469,17204
shyam 99,10829,10880,21709
shyam 100,8321,9092,17413
shyam 101,7870,9799,17669
shyam 102,9078,7404,16482
shyam 103,8451,7639,16090
shyam 104,9001,7879,16880
shyam 105,10341,10353,20694
shyam 106,8714,7766,16480
shyam 107,8151,9881,18032
shyam 108,9611,9914,19525
shyam 109,8208,8790,16998
shyam 110,7469,8223,15692
